index_time,mse_mean,model,method,lags,nof_filters,epoch,calculation_time,node,mse
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Bukchoncheon,0.19816379109970478
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Cheorwon,0.19293307237704038
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Daegwallyeong,0.20026938254129895
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Chuncheon,0.17283978212146667
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Baengnyeongdo,0.2635072243774428
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Bukgangneung,0.18413801841471347
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Gangneung,0.17941315369759922
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Seoul,0.20300956961911404
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Incheon,0.19643907823274806
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Wonju,0.1774260351273383
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Ulleungdo,0.19359133579483817
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Suwon,0.17189024202187037
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Seosan,0.18742347911933235
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Cheongju,0.21595599288685116
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Daejeon,0.17565401911837952
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Chupungnyeong,0.17621749061944414
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Andong,0.19607652811884427
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Pohang,0.16186091766737234
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Daegu,0.145700368082571
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Jeonju,0.1640358226338328
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Changwon,0.16311841996044074
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Gwangju,0.1775565843265431
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Busan,0.16998454599598972
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Mokpo,0.16257984512515564
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Yeouido,0.17220826006190493
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Heuksando,0.1601280398446822
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Gochang,0.19084014960020104
2023-08-07 16:27:38.862212,0.17826662681780062,GConvGRU,classic,1,4,1,15.409584045410156,Hongseong,0.18236424345017826
