ACT,Movie1,Movie2,Movie3,Movie4,Movie5,Movie6,Movie7,Movie8,Movie9,Movie10
RICK MASON,Black Widow,,,,,,,,,
HAWKEYE/RONIN (Clint Barton),Thor,The Avengers,Avengers: Age of Ultron,Captain America: Civil War,Avengers: Endgame,Hawkeye,,,,
LAURA BARTON,Avengers: Age of Ultron,Avengers: Endgame,,,,,,,,
NICK FURY,Iron Man,Iron Man 2,The Avengers,Captain America: The Winter Soldier,Avengers: Age of Ultron,Avengers: Infinity War,Captain Marvel,Avengers: Endgame,Spider-man: Far From Home,Agents of Shield
MARIA HILL,The Avengers,Captain America: The Winter Soldier,Avengers: Age of Ultron,Avengers: Infinity War,Spider-man: Far From Home,Agents of Shield,,,,
DR. HELEN CHO,Avengers: Age of Ultron,,,,,,,,,
ULTRON,Avengers: Age of Ultron,,,,,,,,,
THE VISION,Iron Man,Iron Man 2,The Avengers,Iron Man 3,Avengers: Age of Ultron,Captain America: Civil War,Avengers: Infinity War,WandaVision,,
THE SCARLET WITCH (Wanda Maximoff),Avengers: Age of Ultron,Captain America: Civil War,Avengers: Infinity War,Avengers: Endgame,WandaVision,Doctor Strange: In the Multiverse of Madness,,,,
QUICKSILVER (Pietro Maximoff),Avengers: Age of Ultron,WandaVision,,,,,,,,
ANT-MAN (Scott Lang),Ant-man,Captain America: Civil War,Ant-man and the Wasp,Avengers: Endgame,,,,,,
THE WASP (Hope Van Dyne),Ant-man,Ant-man and the Wasp,Avengers: Endgame,,,,,,,
HANK PYM,Ant-man,Ant-man and the Wasp,Avengers: Endgame,,,,,,,
JANET VAN DYNE,Ant-man and the Wasp,Avengers: Endgame,,,,,,,,
GOLIATH (Bill Foster),Ant-man and the Wasp,,,,,,,,,
GHOST (Ava),Ant-man and the Wasp,,,,,,,,,
YELLOW JACKET (Darren Cross),Ant-man,,,,,,,,,
LUIS,Ant-man,Ant-man and the Wasp,,,,,,,,
KURT,Ant-man,Ant-man and the Wasp,,,,,,,,
DAVE,Ant-man,Ant-man and the Wasp,,,,,,,,
SONNY BURCH,Ant-man and the Wasp,,,,,,,,,
JIMMY WOO,Ant-man and the Wasp,WandaVision,,,,,,,,
PAXTON,Ant-man,Ant-man and the Wasp,,,,,,,,
MAGGIE,Ant-man,Ant-man and the Wasp,,,,,,,,
CASSIE LANG,Ant-man,Ant-man and the Wasp,,,,,,,,
DOCTOR STRANGE/DORMAMMU,Doctor Strange,Thor: Ragnarok,Avengers: Infinity War,Avengers: Endgame,Doctor Strange: In the Multiverse of Madness,,,,,
WONG,Doctor Strange,Avengers: Infinity War,Avengers: Endgame,,,,,,,
