index_time,mse_mean,model,method,lags,nof_filters,epoch,calculation_time,node,mse
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Bukchoncheon,0.18226650467444575
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Cheorwon,0.1754994454723179
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Daegwallyeong,0.18514778864557607
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Chuncheon,0.16130713289377357
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Baengnyeongdo,0.22414095982586174
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Bukgangneung,0.17118724348865838
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Gangneung,0.16798197483118424
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Seoul,0.1875906116139347
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Incheon,0.18036895448442078
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Wonju,0.16675970275991905
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Ulleungdo,0.17930236793651047
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Suwon,0.16069840095359428
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Seosan,0.17297533124348713
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Cheongju,0.19900631285759132
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Daejeon,0.16338672190196718
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Chupungnyeong,0.16321283795813285
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Andong,0.1818720887255685
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Pohang,0.1537477586668382
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Daegu,0.1389612530379613
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Jeonju,0.15326384337930787
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Changwon,0.15573392796630764
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Gwangju,0.1657924029431016
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Busan,0.1641583592620119
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Mokpo,0.1567005710157373
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Yeouido,0.16057294428236213
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Heuksando,0.15726641545953268
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Gochang,0.17968640811976808
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Hongseong,0.1713762848926052
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Jeju,0.1370646980415858
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Gosan,0.1474452484531298
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Jinju,0.15755057246592988
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Gochang-gun,0.17777649038390142
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Yeonggwang-gun,0.1807130263852211
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Gimhae-si,0.16395735743723844
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Sunchang-gun,0.16228477076902473
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Bukchangwon,0.14423524579474564
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Yangsan-si,0.16221758308012765
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Boseong-gun,0.1791417632936052
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Gangjin-gun,0.16169935621220233
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Uiryeong-gun,0.17163945310476914
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Hamyang-gun,0.14921773305051578
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Gwangyang-si,0.16877186840492975
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Cheongsong-gun,0.18000269468779023
2023-08-07 15:43:11.507263,0.1671492812648775,RecurrentGCN,classic,1,4,1,14.953163146972656,Gyeongju-si,0.13088596479741404
2023-08-07 15:43:26.544439,0.14030455567554112,RecurrentGCN,classic,1,6,1,15.035381317138672,Bukchoncheon,0.14654104497818451
2023-08-07 15:43:26.544439,0.14030455567554112,RecurrentGCN,classic,1,6,1,15.035381317138672,Cheorwon,0.1431800704884642
2023-08-07 15:43:26.544439,0.14030455567554112,RecurrentGCN,classic,1,6,1,15.035381317138672,Daegwallyeong,0.15011878189374367
2023-08-07 15:43:26.544439,0.14030455567554112,RecurrentGCN,classic,1,6,1,15.035381317138672,Chuncheon,0.13212866505967727
2023-08-07 15:43:26.544439,0.14030455567554112,RecurrentGCN,classic,1,6,1,15.035381317138672,Baengnyeongdo,0.1846617625834232
2023-08-07 15:43:26.544439,0.14030455567554112,RecurrentGCN,classic,1,6,1,15.035381317138672,Bukgangneung,0.1388395612525967
2023-08-07 15:43:26.544439,0.14030455567554112,RecurrentGCN,classic,1,6,1,15.035381317138672,Gangneung,0.13958095537117668
2023-08-07 15:43:26.544439,0.14030455567554112,RecurrentGCN,classic,1,6,1,15.035381317138672,Seoul,0.15502051894267052
2023-08-07 15:43:26.544439,0.14030455567554112,RecurrentGCN,classic,1,6,1,15.035381317138672,Incheon,0.1470384427784719
2023-08-07 15:43:26.544439,0.14030455567554112,RecurrentGCN,classic,1,6,1,15.035381317138672,Wonju,0.13783918621551786
